id,food,image,instructions,food_type,Calories,FatContent,ProteinContent,glutenFree,dairyFree,sourceUrl,ingredients,food_cluster
11,Anchovy Fries with Smoked Paprika Aioli,https://img.spoonacular.com/recipes/25-556x370.jpg,"Stir mayonnaise, lemon juice, garlic, and paprikas together in a bowl. Chill aioli until serving.                                                                                                 Clean fish (steps 1 and 2 of ""You Found the Fish,"" below).                                                                                                 Preheat oven to 200. Line a rimmed baking sheet with paper towels and keep warm in oven. Fill a large pot with 1 in. oil, insert a deep-fry thermometer, and bring oil to 375 over medium-high heat.                                                                                                 Combine flour and 1/2 tsp. salt in a pie pan, and panko and remaining 1/2 tsp. salt in another pie pan. In a shallow bowl, whisk eggs to blend. Dip fish in flour, shaking off excess, then in egg, then in panko, turning to coat; set on a baking sheet.                                                                                                 Fry one-quarter of fish at a time until golden, 1 to 1 1/2 minutes. Transfer to pan in oven. Serve with aioli and lemon wedges.                                                                                                You Found the Fish--Now What? Some markets will clean them for you, but if not, you can do it yourself easily enough--it just takes a little practice.                                                                                                 SCALE AND CUT. Scrape off the scales gently with fingertips. Cut through both sides of belly 1/4 in. from edge, from collar to tail.                                                                                                 CLEAN. Pull out the guts; rinse the fish inside and out. Snip off fins.                                                                                                 FILLET (RAW). Score fish all the way around collar just to the bone. Slide your index finger into cut on one side of collar and your middle finger into the other side. Slide your fingers along spine to tail, pulling fillets free. Cut off tail and pull out any remaining bones.                                                                                                 FILLET (COOKED). Make 3 cuts through flesh to bones: along the length of the spine (to one side of it), at collar, and just above tail. Slide knife under fillet to free it from spine, and lift it off. Pull up tail and lift off spine and head to free bottom fillet. Pull out any remaining bones.                                                                                                *If you can't find fresh anchovies or smelt, you can make the recipe with sardines: Discard heads and tails, and cut bodies into 2-in. pieces. Cut cooked meat from the bones.                                                                                                Note: Find these little fish at some grocery stores, fish markets (you might need to order them), and Asian markets. If you live near a coastal town, head to the docks-fresh anchovies and smelt are often sold as bait. Look for fish with bright eyes, shiny skin, and a mild aroma. They're very perishable, so plan to cook them the same day.                                                                                                Note: Nutritional analysis is per serving.",Non-Veg,688.2,36.4,8.8,False,True,http://www.myrecipes.com/recipe/anchovy-fries-smoked-aioli-50400000115432/,"['anchovies', 'anchovies', 'eggs', 'flour', 'garlic', 'clove', 'hungarian', 'paprika', 'kosher', 'salt', 'lemon', 'juice', 'lemon', 'wedges', 'olive', 'oil', 'mayonnaise', 'panko', 'bread', 'crumbs', 'paprika', 'vegetable', 'oil']",0
12,Sliced Baguette With Radishes And Anchovy Butter,https://img.spoonacular.com/recipes/26-556x370.jpg,"Preparation                                        Mix butter, 2 chopped anchovy fillets, and 2 tablespoons chives in small bowl, adding 1 more chopped anchovy fillet to taste, if desired. Season with salt and freshly ground black pepper. Spread anchovy butter over 1 side of each baguette slice. Top each baguette slice with radish slices, overlapping slightly to cover bread. Garnish with additional chopped chives and serve.                                    89 calories, 6 g fat, 0.4 g fiberNutritional analysis provided by Bon Apptit",Non-Veg,627.7,24.9,57.9,False,False,http://www.epicurious.com/recipes/food/views/Sliced-Baguette-with-Radishes-and-Anchovy-Butter-364610,"['to', '3', 'anchovy', 'to', '3', 'anchovy', 'thick', 'diagonal', 'baguette', 'additional', 'chives', 'coarse', 'kosher', 'salt', 'chives', 'radishes', 'butter']",0
13,Cook the Book: Braided Beef with Anchovies and Olives,https://img.spoonacular.com/recipes/27-556x370.jpg,"Procedures                                                                              1                                                                            Crush the anchovies to a paste in a mortar (or pulse in a food processor). Chop half of the olives, and crush them together with the anchovies. Cut the fillet lengthwise into 3 long strips, stopping 1 inch from the end. Spread the anchovy mixture evenly along one side of each strip. Braid the meat tightly, tying it firmly together at the end with kitchen string.  Use your palms to flatten the braid to an even thickness, then push any anchovy stuffing back into the braids. Brush the meat all over with 1 tablespoon of the olive oil.                                                                                                                            2                                                                            Brush a chapa (a flat piece of cast iron set over a fire) or large cast-iron griddle with the remaining 1 tablespoon olive oil and heat over medium heat until a drop of water sizzles on the surface. Add the beef and cook without moving for 10 minutes, or until it is nicely browned on the first side. Turn the meat over and sear on the other side for about 6 minutes—the meat should be quite rare. Continue turning and cooking the meat until all the sides are seared and it is done to taste. Transfer the meat to a carving board and let rest for 5 minutes.                                                                                                                            3                                                                            Meanwhile, lightly smash the remaining olives and place alongside the meat. The juices will run together.                                                                                                                            4                                                                            Remove the string, carve the beef into thick slices, and season with pepper. Serve with olives and juices.",Non-Veg,89.4,2.6,2.3,True,True,http://www.seriouseats.com/recipes/2009/06/cook-the-book-braided-beef-with-anchovies-recipe.html,"['anchovy', 'anchovy', 'pepper', 'extra', 'virgin', 'olive', 'oil', 'kalamata', 'olives', 'center', 'cut', 'beef', 'tender', 'loin', 'roast']",2
14,"Skate, Chicory, and Anchovy",https://img.spoonacular.com/recipes/29-556x370.jpg,"Instructions                                                                                                                                                                                                                 To make your poaching broth mix all the ingredients together and add enough water to cover your skate. Bring it up to a boil and then turn the heat down to a simmer. Slip your skate wing into the poaching pan and cook for approximately 10 minutes (check that the flesh comes away from the bone), then turn off the heat and allow to cool in the liquor.                                                    When cold remove the skate from the liquor and pull the flesh from the bone. It should come away in easy strips. Now make your dressing: either whizz all the ingredients in a food processor or pound them in a mortar with a pestle.                                                    Bring together the skate, chicory, rocket (arugula), parsley, capers, and the dressing (cautionthere may be too much, so do not add it all at once), and toss.                                                                                                                                                                                                                                                                                                var articleType_27_data = {};                    articleType_27_data.init_step_by_step_images = 0;",Non-Veg,69.2,3.8,3.5,True,True,http://www.cookstr.com/recipes/skate-chicory-and-anchovy,"['anchovy', 'anchovy', 'pepper', 'peppercorns', 'capers', 'celery', 'chicory', 'curly', 'parsley', 'tied', 'together', 'curly', 'parsley', 'extra', 'virgin', 'olive', 'oil', 'fennel', 'garlic', 'garlic', 'lemon', 'zest', 'onion', 'rocket', 'sea', 'salt', 'skate', 'wing', 'white', 'wine', 'a', 'healthy', 'red', 'wine', 'vinegar']",2
15,Grilled Mozzarella Sandwich With Anchovy-olive Tapenade,https://img.spoonacular.com/recipes/42-556x370.jpg,"Mince the garlic. Add the salt and keep mincing until the garlic forms a paste. Place the olives and anchovy on your cutting board and coarsely chop them all together until fine but not completely paste-like. Transfer to a small bowl and add the lemon juice and olive oil.On one side of the bread, place the mozzarella. Sprinkle with oregano. On the other, mound most the tapenadethe amount depends on the size of your bread and your appetite for olives. Melt half the butter in a frying pan over medium-low heat. Place the sandwich in the pan with a weight on top for best results. Cook for 5-6 minutes, until the bread is golden and the cheese starts to melt. Lift the sandwich up, add the rest of the butter, flip the sandwich, and cook about 5 minutes on the second side.Cut in half and serve.",Non-Veg,62.2,0.1,2.7,False,False,http://www.biggirlssmallkitchen.com/2012/07/grilled-mozzarella-sandwich-with-anchovy-olive-tapenade.html,"['anchovy', 'anchovy', 'bread', 'butter', 'mozzarella', 'garlic', 'clove', 'kosher', 'salt', 'lemon', 'juice', 'olive', 'oil', 'olives', 'half', 'niçoise', 'and', 'half', 'meaty', 'wrinkled', 'olives', 'sprig', 's', 'worth', 'of', 'oregano', 'leaves']",0
16,Pressed Summer Sandwich with Cabbage and Anchovies,https://img.spoonacular.com/recipes/43-556x370.jpg,"Hollow out the bread by removing most of the inside crumb. Reserve 1/2 cup of the crumb for the filling. Place the olive oil, capers,parsley, garlic, pepper, and anchovies (or salt) in a food processor. Process until the garlic is finely chopped, 1 to 2 minutes. Transfer the mixture to a large bowl. Add the bell pepper,tomatoes, onion, olives, and the reserved bread filling. Toss to combine.Layer half the mixture in the bottom half of the hollowed-out bread. Top with the hard-cooked eggs and the remaining mixture. Replace the top of the loaf. Wrap the filled loaf with plastic wrap. Weigh it down with a heavy object, such as a cast-iron skillet filled with cans. Place it in the refrigerator. Let sit at least 10 hours or overnight. Before serving, cut the loaf into 6 wedges with a sharp bread knife.",Veg,372.9,10.6,6.6,False,True,http://www.myrecipes.com/recipe/pressed-summer-sandwich-with-eggs-anchovies-10000000663077/,"['anchovies', 'or', 'olives', 'pepper', 'capers', 'cherry', 'tomatoes', 'round', 'crusty', 'bread', 'parsley', 'leaves', 'garlic', 'cabbage', 'olive', 'oil', 'orange', 'bell', 'pepper', 'onion']",2
17,Chicory In Anchovy Sauce,https://img.spoonacular.com/recipes/44-556x370.jpg,Instructions,Non-Veg,522.6,27.1,5.0,True,True,http://www.saveur.com/article/Recipes/Chicory-in-Anchovy-Sauce-Puntarelle-in-Salsa-di-Alici,"['anchovy', 'filets', 'anchovy', 'filets', 'dandelion', 'greens', 'dandelion', 'greens', 'garlic', 'kosher', 'salt', 'and', 'pepper', 'olive', 'oil', 'white', 'wine', 'vinegar']",0
18,"Orecchiette with Cauliflower, Anchovies and Pistachios",https://img.spoonacular.com/recipes/46-556x370.jpg,"Preheat the oven to 350. Spread the pistachios in a pie plate and bake for about 5 minutes, or until lightly toasted. Let cool, then coarsely chop.                                               In a medium saucepan of boiling water, blanch the cauliflower florets for 1 minute. Drain and set aside.                                                In a large, deep skillet, cook the butter over moderate heat until golden brown, about 4 minutes. Add the cauliflower and cook over moderately high heat until golden. Add the anchovies and cook, stirring, for 2 minutes. Stir in the stock and cook until the cauliflower is tender, about 3 minutes.                                              Meanwhile, in a large pot of boiling salted water, cook the orecchiette until al dente. Drain the pasta and add it to the skillet. Stir in the parsley, Parmesan and crushed red pepper and season with salt and pepper. Transfer to a warmed bowl, sprinkle with the chopped pistachios and serve.",Non-Veg,415.9,36.9,5.5,False,False,http://www.foodandwine.com/recipes/orecchiette-with-cauliflower-anchovies-and-pistachios,"['cauliflower', 'chicken', 'stock', 'pepper', 'flat', 'leaf', 'parsley', 'oil', 'packed', 'anchovy', 'oil', 'packed', 'anchovy', 'orecchiette', 'parmesan', 'cheese', 'salt', 'and', 'pepper', 'butter', 'pistachios']",2
19,Roasted Cauliflower With Anchovy Vinaigrette,https://img.spoonacular.com/recipes/47-556x370.jpg,"Preheat oven to 425.                                    Break cauliflower into bite-sized pieces.                                  Combine garlic, anchovies, 1/4 cup of olive oil and juice of 1/2 lemon (more to taste).  Use an immersion blender to emulsify dressing.                                  Place cauliflower in large baking pan, sprinkle with salt and pepper and remainder of olive oil.  Roast until cauliflower starts to change color (15 minutes).  Add 1/4 cup of cold water, lower heat to 350 and cook for an additional 30 minutes or until tender turning pieces on occasion.                                  Remove from oven and place in large bowl.  Pour dressing over cauliflower and serve.  If you want a little more pop add some lemon and garnish with chopped parsley.",Non-Veg,395.9,19.1,5.0,True,True,http://www.food52.com/recipes/6989_roasted_cauliflower_with_anchovy_vinaigrette,"['anchovy', 'anchovy', 'cauliflower', 'garlic', 'cloves', 'lemon', 'olive', 'oil', 'parsley', 'salt', 'and', 'pepper']",0
20,Roasted Red Peppers With Anchovies And Olive Oil,https://img.spoonacular.com/recipes/48-556x370.jpg,"Transfer peppers to a large bowl, and cover immediately with plastic wrap. Set aside to steam, about 15 minutes. Peel peppers; discard skins. Remove stems, seeds, and ribs, and cut each pepper lengthwise into 8 strips. Transfer to a small non-reactive bowl.",Non-Veg,114.3,3.8,5.4,True,True,http://www.marthastewart.com/346875/roasted-red-peppers-with-anchovies-and-o,"['anchovy', 'anchovy', 'garlic', 'olive', 'oil', 'olive', 'oil', 'bell', 'peppers', 'bell', 'peppers']",2
21,Acciughe Con Salsa Verde (anchovies In Green Sauce),https://img.spoonacular.com/recipes/51-556x370.jpg,Instructions,Veg,280.1,6.0,29.8,True,True,http://www.saveur.com/article/Recipes/Acciughe-Con-Salsa-Verde-Anchovies-in-Green-Sauce,"['basil', 'basil', 'flat', 'leaf', 'garlic', 'hardboiled', 'egg', 'yolks', 'olive', 'oil', 'parsley', 'chile', 'flakes', 'vinegar', 'white', 'wine']",0
22,"Anchovy, Little Gem, And Tomato Salad",https://img.spoonacular.com/recipes/53-556x370.jpg,"Preheat oven to 400. Place tomatoes in an 8x8x2"" glass baking dish. Season with salt and pepper, then drizzle with oil. Roast tomatoes until softened, about 30 minutes. Let cool. Transfer tomatoes to a large bowl, leaving juices behind. Pour vinaigrette into baking dish and whisk into the tomato juices to blend.Add anchovies and lettuce to bowl with tomatoes. Drizzle vinaigrette over. Toss salad to coat (it's best if you use your hands). Season salad to taste with salt and pepper. Sprinkle parsley over and serve.",Non-Veg,221.5,6.5,8.1,True,True,http://www.bonappetit.com/recipes/2011/06/anchovy-little-gem-and-tomato-salad,"['marinated', 'anchovy', 'marinated', 'anchovy', 'curly', 'parsley', 'dijon', 'vinaigrette', 'kosher', 'salt', 'and', 'pepper', 'little', 'gem', 'lettuce', 'olive', 'oil', 'tomatoes', 'on', 'the', 'vine']",1
23,Anchovy and Piquillo Pepper Bruschetta,https://img.spoonacular.com/recipes/54-556x370.jpg,"Preheat the broiler. Toast the bread until golden, then lightly brush with olive oil. Rub the toasts on 1 side with the garlic clove. In a small bowl, toss the piquillos with the anchovies and caperberries. Spoon the topping on the toasts. Drizzle with olive oil, sprinkle with salt and pepper and serve.",Non-Veg,381.1,17.3,3.9,False,True,http://www.foodandwine.com/recipes/anchovy-and-piquillo-pepper-bruschetta,"['anchovies', 'anchovies', 'thick', 'tuscan', 'bread', 'caperberries', 'garlic', 'clove', 'olive', 'oil', 'piquillo', 'peppers', 'sea', 'salt', 'and', 'pepper']",2
24,Tomato-and-Anchovy Salad with Garlic Cream,https://img.spoonacular.com/recipes/56-556x370.jpg,"In a small saucepan, cover the garlic with cold water and bring to a boil. Boil for 2 minutes, then drain. Repeat two more times, blanching the garlic until tender; drain and transfer to a mini food processor. Add the milk and puree until smooth. Season the garlic cream with salt and pepper.                                              In a large bowl, toss the tomatoes and basil with 2 tablespoons of the olive oil and season with salt and pepper. Gently stir in the anchovies to combine.                                              Spoon the garlic cream onto plates and top with the tomato salad. Drizzle with the balsamic vinegar and the remaining 2 tablespoons of olive oil and serve.",Non-Veg,4713.8,286.5,71.7,True,False,http://www.foodandwine.com/recipes/tomato-and-anchovy-salad-with-garlic-cream,"['aged', 'balsamic', 'vinegar', 'anchovy', 'anchovy', 'basil', 'leaves', 'basil', 'leaves', 'garlic', 'cloves', 'heirloom', 'tomatoes', 'milk', 'olive', 'oil', 'salt', 'and', 'pepper']",1
25,Port-Marinated Pork with Prunes and Anchovies,https://img.spoonacular.com/recipes/57-556x370.jpg,"In a small saucepan, cover the prunes with the port and bring to a simmer. Remove the pan from the heat and let stand until the prunes soften, about 25 minutes. Pour the prunes and port into a large, shallow dish. Add the garlic, lemon juice and zest and a large pinch each of salt and pepper. Add the pork roast and turn to coat. Let marinate at room temperature for 4 hours, turning the meat often.                                              Preheat the oven to 400. Remove the prunes from the marinade. Strain the marinade into a small saucepan and reserve. Roll up the anchovy fillets and stuff each one into a prune. Make a deep lengthwise slit in the pork loin, leaving about 1 inch of meat attached. Open the roast like a book and season with salt and pepper. Arrange the stuffed prunes in a row along the slit; close the roast and tie it at 2-inch intervals with kitchen string. Season the roast all over with salt and pepper.                                              In a large skillet, heat the olive oil until shimmering. Add the roast, fat side down, and brown it over moderate heat on 4 sides, about 1 minute per side. Set the roast in a roasting pan, fat side up. Roast for about 55 minutes; if the pan juices begin to look very dark, add 2 tablespoons of water to the pan. The roast is done when an instant-read thermometer inserted in the center of the meat registers 145. Transfer the roast to a carving board, cover loosely with foil and let rest for 10 minutes.                                              Scrape out any blackened bits in the roasting pan. Set the pan over moderately low heat and stir in the flour to make a smooth paste. Slowly whisk in the reserved marinade and simmer, whisking, until the sauce is smooth and thickened, about 3 minutes. Pour the sauce into a clean saucepan and season with salt and pepper.                                              Untie the roast and slice it 1/2 inch thick. Pour any juices into the sauce and reheat before serving it with a pork roast.",Non-Veg,407.8,15.4,17.1,False,True,http://www.foodandwine.com/recipes/port-marinated-pork-with-prunes-and-anchovies,"['anchovy', 'anchovy', 'pork', 'loin', 'roast', 'flour', 'garlic', 'cloves', 'lemon', 'juice', 'lemon', 'zest', 'olive', 'oil', 'ruby', 'port', 'prunes', 'salt', 'and', 'pepper']",2
26,Egg-Free Avocado Caesar Salad,https://img.spoonacular.com/recipes/62-556x370.jpg,"To make the dressing: Combine all the dressing ingredients in a blender and blend until smooth and creamy. Add a little more water to make it thinner, if desired. Taste for salt and pepper, but be conservative with the salt since the cheese is salty.Place the lettuce in a serving bowl or on a platter and sprinkle with grated cheese and croutons. Depending on the size of your head of lettuce, you may have more dressing than you need, so just toss lettuce with enough dressing to coat lightly. Or toss salad with dressing and garnish with shaved cheese.",Non-Veg,586.1,38.7,30.2,True,False,http://pamelasalzman.com/egg-free-avocado-caesar-salad-recipe/,"['anchovy', 'paste', 'avocado', 'pepper', 'croutons', 'dijon', 'mustard', 'garlic', 'cloves', 'lemon', 'juice', 'a', 'wedge', 'into', 'strips', 'romaine', 'lettuce', 'sea', 'salt', 'water', 'unrefined']",1
